"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Nidalee","Jungle",10,"3.0%","6.4%","9.7%","30%","70%",29,33,78,3.2,"79.3%","18.3%","-","-","-","-",6.5,"-",614,"24.1%","20.4%",0.48,0.53
"Rumble","Top",10,"3.0%","6.4%","9.4%","60%","20%",29,38,73,2.7,"65.8%","29.7%","-","-","-","-",7.2,"-",716,"29.9%","20.6%",0.34,0.11
"Jarvan IV","Jungle",8,"2.4%","1.2%","3.6%","25%","75%",9,38,73,2.2,"89.1%","29.0%","-","-","-","-",4.6,"-",241,"11.4%","16.3%",0.5,0.53
"Lissandra","Middle",8,"2.4%","3.0%","5.5%","25%","100%",16,33,46,1.9,"63.3%","22.8%","-","-","-","-",7.7,"-",409,"22.1%","20.2%",0.25,0.21
"Ornn","Top",8,"2.4%","0.6%","3.0%","50%","100%",15,20,47,3.1,"54.9%","19.2%","-","-","-","-",7,"-",447,"20.1%","18.2%",0.33,0.15
"Veigar","Middle",8,"2.4%","2.7%","6.1%","50%","88%",27,13,50,5.9,"75.5%","15.1%","-","-","-","-",8.6,"-",498,"26.3%","23.7%",0.44,0.17
"Aatrox","Top",7,"2.1%","0.0%","2.1%","14%","71%",16,33,20,1.1,"62.1%","32.4%","-","-","-","-",7.8,"-",454,"24.4%","22.3%",0.35,0.11
"Ezreal","ADC",7,"2.1%","1.5%","3.6%","43%","100%",23,15,28,3.4,"69.9%","14.6%","-","-","-","-",9.2,"-",757,"29.7%","26.8%",0.27,0.29
"Miss Fortune","Support",6,"1.8%","0.9%","2.7%","67%","100%",9,13,40,3.8,"58.3%","17.8%","-","-","-","-",1.4,"-",624,"23.6%","12.0%",1.97,0.58
"Renekton","Middle",6,"1.8%","30.1%","56.5%","17%","50%",7,28,22,1,"49.2%","27.5%","-","-","-","-",7.4,"-",366,"15.4%","19.7%",0.24,0.21
"Ashe","ADC",5,"1.5%","36.5%","58.7%","60%","40%",21,5,26,9.4,"70.1%","10.2%","-","-","-","-",8.3,"-",556,"23.9%","24.5%",0.57,0.38
"Braum","Support",5,"1.5%","0.6%","2.1%","60%","100%",3,11,45,4.4,"76.2%","20.0%","-","-","-","-",1.2,"-",161,"7.9%","9.6%",1.03,0.44
"Gangplank","Top",5,"1.5%","0.3%","1.8%","40%","100%",9,12,22,2.6,"57.4%","19.7%","-","-","-","-",8.7,"-",641,"30.3%","28.5%",0.4,0.09
"Irelia","Top",5,"1.5%","1.5%","4.3%","60%","100%",18,14,15,2.4,"50.8%","26.9%","-","-","-","-",9.3,"-",476,"23.0%","26.8%",0.42,0.13
"Kalista","ADC",5,"1.5%","3.3%","5.2%","40%","40%",17,11,26,3.9,"65.2%","14.7%","-","-","-","-",9.2,"-",375,"15.6%","24.6%",0.35,0.3
"Malphite","Top",5,"1.5%","0.3%","1.8%","40%","100%",8,13,27,2.7,"61.4%","17.8%","-","-","-","-",7.1,"-",400,"21.2%","19.7%",0.42,0.16
"Tahm Kench","Support",5,"1.5%","0.3%","1.8%","20%","80%",1,15,29,2,"69.8%","22.4%","-","-","-","-",1.4,"-",170,"9.4%","9.2%",1.38,0.34
"Varus","Support",5,"1.5%","18.5%","53.5%","60%","40%",5,16,30,2.2,"60.3%","23.5%","-","-","-","-",1.7,"-",520,"21.6%","13.0%",2.24,0.87
"Aurelion Sol","Middle",4,"1.2%","2.4%","3.6%","75%","50%",33,6,26,9.8,"88.1%","11.3%","-","-","-","-",9.6,"-",803,"36.5%","28.0%",0.34,0.25
"Caitlyn","Support",4,"1.2%","24.0%","35.0%","25%","100%",5,15,16,1.4,"67.7%","23.1%","-","-","-","-",1.4,"-",299,"15.5%","14.4%",2.25,0.85
"Darius","Top",4,"1.2%","2.1%","3.3%","75%","100%",20,5,10,6,"49.2%","14.7%","-","-","-","-",8,"-",442,"18.5%","23.0%",0.24,0.23
"Graves","Jungle",4,"1.2%","1.2%","2.4%","25%","100%",14,10,21,3.5,"68.6%","16.9%","-","-","-","-",7,"-",475,"20.0%","24.3%",1.29,0.91
"Irelia","Middle",4,"1.2%","1.5%","4.3%","25%","100%",10,16,15,1.6,"52.1%","23.2%","-","-","-","-",8.7,"-",513,"20.6%","23.0%",0.19,0.2
"Soraka","Support",4,"1.2%","0.0%","1.2%","75%","100%",2,7,44,6.6,"86.8%","18.4%","-","-","-","-",0.9,"-",153,"6.6%","9.8%",1.56,0.43
"Vex","Middle",4,"1.2%","0.0%","1.2%","100%","100%",19,11,40,5.4,"72.8%","22.4%","-","-","-","-",7.9,"-",689,"27.9%","21.5%",0.52,0.24
"Cho'Gath","Top",3,"0.9%","0.3%","1.5%","67%","100%",9,5,14,4.6,"60.5%","12.8%","-","-","-","-",7.1,"-",488,"19.4%","20.2%",0.26,0.21
